exp_id,course_name,question_id,accuracy_per_predict,predict_type,student_id
1,star,1,1.0,type_1_only_course,0
1,star,1,1.0,type_2_course_confidence,0
1,star,1,1.0,type_3_course_confidence_pretest,0
1,star,1,1.0,type_2_ind_course_confidence,0
1,star,1,1.0,type_3_ind_course_confidence_pretest,0
1,star,1,1.0,type_4_ind_course_confidence_pretest_isc,0
1,star,2,1.0,type_1_only_course,0
1,star,2,1.0,type_2_course_confidence,0
1,star,2,1.0,type_3_course_confidence_pretest,0
1,star,2,1.0,type_2_ind_course_confidence,0
1,star,2,1.0,type_3_ind_course_confidence_pretest,0
1,star,2,1.0,type_4_ind_course_confidence_pretest_isc,0
1,star,3,1.0,type_1_only_course,0
1,star,3,1.0,type_2_course_confidence,0
1,star,3,1.0,type_3_course_confidence_pretest,0
1,star,3,0.0,type_2_ind_course_confidence,0
1,star,3,0.0,type_3_ind_course_confidence_pretest,0
1,star,3,1.0,type_4_ind_course_confidence_pretest_isc,0
1,star,4,1.0,type_1_only_course,0
1,star,4,0.0,type_2_course_confidence,0
1,star,4,0.0,type_3_course_confidence_pretest,0
1,star,4,0.0,type_2_ind_course_confidence,0
1,star,4,0.0,type_3_ind_course_confidence_pretest,0
1,star,4,0.0,type_4_ind_course_confidence_pretest_isc,0
1,star,5,1.0,type_1_only_course,0
1,star,5,0.0,type_2_course_confidence,0
1,star,5,0.0,type_3_course_confidence_pretest,0
1,star,5,0.0,type_2_ind_course_confidence,0
1,star,5,1.0,type_3_ind_course_confidence_pretest,0
1,star,5,1.0,type_4_ind_course_confidence_pretest_isc,0
1,star,6,1.0,type_1_only_course,0
1,star,6,1.0,type_2_course_confidence,0
1,star,6,1.0,type_3_course_confidence_pretest,0
1,star,6,0.0,type_2_ind_course_confidence,0
1,star,6,0.0,type_3_ind_course_confidence_pretest,0
1,star,6,0.0,type_4_ind_course_confidence_pretest_isc,0
1,star,7,1.0,type_1_only_course,0
1,star,7,1.0,type_2_course_confidence,0
1,star,7,1.0,type_3_course_confidence_pretest,0
1,star,7,1.0,type_2_ind_course_confidence,0
1,star,7,1.0,type_3_ind_course_confidence_pretest,0
1,star,7,1.0,type_4_ind_course_confidence_pretest_isc,0
1,star,8,1.0,type_1_only_course,0
1,star,8,1.0,type_2_course_confidence,0
1,star,8,1.0,type_3_course_confidence_pretest,0
1,star,8,1.0,type_2_ind_course_confidence,0
1,star,8,1.0,type_3_ind_course_confidence_pretest,0
1,star,8,1.0,type_4_ind_course_confidence_pretest_isc,0
1,star,9,1.0,type_1_only_course,0
1,star,9,1.0,type_2_course_confidence,0
1,star,9,0.0,type_3_course_confidence_pretest,0
1,star,9,0.0,type_2_ind_course_confidence,0
